id	question1	question2	pre_label
536	我企业安装数台办公用的空调，其电费能否抵扣进项税额？	用于办公场所的空调进项税可否用电费抵扣？	1
537	土地租赁合同到期后对方继续使用不还我怎么办	农村出租土地到年限了，承租方不肯归还土地怎么处理?	0
538	邻居未经批准建房，影响我的房屋通风采光，我能不能起诉维权？	我能通过诉讼方式，请求法院裁决由于邻居违章搭建妨碍通风、采光的相邻权纠纷吗	1
539	投诉有哪些形式	食品类投诉类型有哪些	0
540	单位和个人能否编造、散布虚假食品安全信息	单位和个人能干编造、散布虚假食品安全信息的事吗？	1
541	为防止地表水污染禁止哪些行为？	为了防止地表水发生污染，禁止的行为有什么？	1
542	供用电合同中供电方的义务有哪些？	什么样的供电义务是供用电合同的供电人应当承担的	1
543	收养关系解除后，养子女对养父母还有赡养义务吗	成年养子女与未成年养子女如何解除收养关系	0
544	以欺诈手段达成的合同有效吗？是否能撤销？	以欺诈手段签订的合同有效吗，可撤销合同的法律责任	0
545	对违反消极资格规定任职的行为如何处置？	关于事业单位工作人员处分的规定有哪些简答	0
546	宅基地使用权人是否可以在该土地建造住宅及其附属设施	建设用地使用权与宅基地使用权的区别？	0
547	依照企业破产法规定进行重整的，用人单位是否可以裁减人员	企业按照破产法的规定进行整顿的，可以裁剪员工吗	1
548	建筑区划内属于业主共有的范围包括哪些	建筑区划内，我们业主共同拥有的范围是哪些	1
549	跟公司签了集体合同又要求签劳动合同，可以不签吗？	签了集体合同，公司还要签劳动合同吗	1
550	公益诉讼有哪几种？	有哪些类型的诉讼属于公益诉讼？	1
551	人民法院审理案件的法律依据是什么？	人民法院审理案件以什么为依据？	1
552	哪些情况下可以获得经济补偿金？	哪些情况下不能获得劳动经济补偿	0
553	公安机关不予立案怎么办？	发生公安机关不予立案的情况该如何是好	1
554	夫妻以一方名义投资设立独资企业的，人民法院分割夫妻在该独资企业中的共同财产时，一方主张经营该企业的该如何处理	夫妻一方投资设立独资企业的，法院分割夫妻在该企业中的共同财产时，一方主张经营该企业的怎么办	1
555	我保修卡和发票丢了在你们这里还能免费保修吗	在没有保修卡和发票的情况下手机还能免费保修吗	1
556	消费者或者其他受害人因商品缺陷造成人身、财产损害的，可以向谁请求赔偿	消费者或者其他人因为所购商品存在问题而造成人身损害的，应问谁要求赔偿？	1
557	加盟商没有场地，特许商不退加盟费，我还可以要回加盟费吗	特许商因为没有场地而拒绝退还加盟费，加盟费可以要回来吗	1
558	租赁土地合同到期，租户不按合同清理场地归还，该怎么办	土地租赁合同到期后对方继续使用不还我怎么办	1
559	企业职工一方是否可以与用人单位订立专项集体合同	企业职工一方跟用人单位订立专项集体合同合法吗？	1
560	用工单位要把劳务派遣的用工数量控制一下吗？	用工单位需不需要控制劳务派遣的用工数量在一定的范围	1
561	交通事故责任认定案例？	交通责任事故认定是否具有可诉性	0
562	怎么处理违反劳动合同的情况	关于违反劳动合同的情况应怎样处理	1
563	个人承包是否发生继承	农村承包土地可以继承吗?说出法律依据?	0
564	对遗弃家庭成员的行为，受害人可以寻求哪些救济	对遗弃家庭成员的行为，受害人可以寻求什么救济	1
565	可否在道路上临时停车	哪些道路可以靠边停车？	0
566	哪些情形下用人单位不得解除劳动合同	在哪些情形下用人单位可以解除劳动合同	0
567	案件涉及第三人的利益，我作为听证主持人，可以通知他参加听证吗？	关于行政处罚听证的相关问题解释	0
568	配偶一方死亡，另一方送养未成年子女的，死亡一方的父母是否有优先抚养的权利	按照我国收养法的规定，有优先抚养权的有哪些人？	0
569	不动产物权登记何时生效	登记的不动产物权什么时候可以生效	1
570	是否有同意适用简易程序的权利？	适用简易程序有哪些条件？	0
571	创业板上市，对公司财力有什么要求？	创业板上市的公司，对原始资金有哪些要求	1
572	土地做担保合同的标的物违法么？	土地做担保合同的标的物是否违法	1
573	非机动车通行规则是什么	非机动车通行有什么规则吗	1
574	设立股份有限公司需要具备什么条件	在满足什么条件下才允许设立股份有限公司？	1
575	运输合同旅客因自己原因未按照客票记载时间乘坐的，应当如何处理	怎么处理运输合同旅客由于自己原因没有按照客票记载时间乘坐的情况	1
576	雇员在从事雇佣活动中遭受人身损害,应由谁来承担责任	雇员在从事雇佣活动中遭受人身损害雇主承担什么责任	1
577	县纪委都有什么职务	中纪委举报电话是多少？	0
578	因经济纠纷被对方强行扣押我的财物，我该怎么办？	因经济纠纷为由扣留车辆怎么办，做法合法吗？	0
579	另案处理是什么意思？	刑事案件是什么	0
580	对符合《中华人民共和国民事诉讼法》起诉条件的消费者权益争议，人民法院是否受理？	满足《诉讼法》起诉条件的消费者权益争议的案件，人民法院是否会受理	1
581	离婚能在异地办理吗？	怎么办理离婚 离婚可以在异地办理吗	0
582	法院强制执行,被执行人没钱，会被拘留吗	法院强制执行，如无可执行财产，是否需要拘留？	1
583	车辆发生交通事故后逃逸的，事故现场目击人员和其他知情人员能否举报？	车辆追尾全责请问一般扣多少分	0
584	旅游者未听从酒店的安全提示，将应随身携带的现金、贵重物品等留在酒店，导致现金及贵重物品丢失，能否请求酒店、旅行社赔偿？	酒店要求客人随身携带贵重物品，但是客人没当回事，结果贵重物品丢失了，酒店要负责吗	0
585	未签施工合同，施工工人受伤，发包人需要承担责任吗？	装修工程中，职员受伤，发包方与承包方各承担什么责任	0
586	车祸后司机离开现场去找人帮忙，算肇事逃逸吗？	肇事逃逸行为包括司机离开交通事故现场去找人帮忙吗？	1
587	未经对方同意是否可以处理共同财产中的重大财产	夫妻共同财产一方随意处置是否有法律效力	0
588	医院救护车太慢延误治疗可以索赔吗？	因为急救车不出车,导致病人死亡,法院至今不受理怎么办	0
589	抚养权或赡养权能否变更？	什么情况下对方可以起诉变更孩子抚养权	0
590	继承法所说的兄弟姐妹包括哪些	兄弟姐妹在继承法里面是怎么定义的	1
591	房屋出租人不按规定登记承租人姓名、身份证件种类和号码的，应当如何处罚？	旅馆不按规定登记住宿怎么处罚？登记住宿都需要登记什么？	0
592	车主未投交强险,他人驾车出事故,车主担责吗	我把车借给朋友，发生了事故，但是我没投交强险，我是否需要承担责任？	1
593	走路的时候眼镜掉在地上被行人踩烂了，应该找谁赔	走路的时候不小心把眼镜掉在地上，被行人踩烂，应该谁赔	1
594	人民法院依据什么审理案件？	人民法院审理民事案件应当遵循什么原则	0
595	租赁土地合同到期，租户不按合同清理场地归还，该怎么办	农村出租土地到年限了，承租方不肯归还土地怎么处理?	0
596	用人单位不交医保向哪个部门投诉？	单位不交社保该怎么办	0
597	可以转让的注册商标专用权、专利权、著作权等知识产权中的财产权是否可以出质	哪些财产权利可以质押？	0
598	知识产权的客体有哪些？	简述知识产权主体的特点？	0
599	资源保护领域行政公益诉讼的案子范围是什么？	资源保护领域行政公益诉讼的案子有那个部门监督？	0
600	注册资本和注册资金的不同之处	怎么辨别注册资本和注册资金？	1
601	什么是劳务派遣用工的替代性工作岗位	请告诉我劳务派遣用工的替代性工作岗位是什么？	1
602	专业职务公证书？	什么是专业职务公证书？	1
603	引诱、教唆未成年人犯罪应受到什么处罚？	对于引诱、教唆未成年人犯罪的行为的规定处罚是什么？	1
604	继承人对被继承人没有尽扶养义务的情形下是否享有遗产	继承人对被继承人没有尽赔偿责任的情形下是否享有遗产	1
605	总公司和分公司的公章可以一样吗？	总公司与分公司的公章是一样的可以吗	1
606	构成交通肇事罪怎么判刑？	哪些交通肇事应当立案追诉，	0
607	哪些案件由海事人民法院管辖？	如何向中国海事法院提交上诉申请书?	0
608	无偿帮工导致他人受伤，被帮工人不肯赔怎么办？	给别人帮工受伤不赔偿有怎么办	1
609	劳动者出现哪些情形时，用人单位可以解除劳动合同	劳动者可以随时通知解除劳动合同的法定情形有哪些	0
610	公安机关可以在异地的拘留所拘留我吗？	异地的公安可以管理其他地方的案件么？	0
611	试用期已经到期了，工资还没变，可以要求补偿吗？	试用期已满，但一直未转正，可以要求补偿吗	0
612	被人侵权伤害，兼职的收入损失能主张误工费吗？	证明误工费需要哪些证据？	0
613	食用农产品销售者是否需建立食用农产品进货查验记录制度	食品销售经营者购进农产品需要索证吗	0
614	食品生产经营是否需要许可	食品生产经营没有许可行不行？	1
615	只有女儿收养一儿子能得到支持吗？	已经有了一个儿子，想收养一个女儿的条件是什么	0
616	员工在救灾时受了重伤，算工伤吗？	一个员工在上班时中风倒地。算工伤吗？	1
617	公司欠债无力偿还，签有免责协议的挂名法人是否需要赔偿？	起诉公司!公司无力偿还!可否追究公司法人	0
618	被人诬告诈骗怎么办？	有人诬告我保险诈骗该怎么办	1
619	那些情况下用人单位可以和劳动者约定违约金？	用人单位什么情况下可以在劳动合同中与劳动者约定违约金	1
620	当事人是否可以请求解除同居关系	可以起诉要求解除同居关系吗	0
621	我拿着美国的驾驶证回国之后是不是就可以另一个中国的	外国朋友有外国的驾驶证想回国取一个我国的允许吗	1
622	行政案件能调解吗？	行政诉讼关于行政补偿可以调解吗?	0
623	公开审查程序是什么？	案件进行公开审查的程序是什么？	1
624	如何避免水果蔬菜的农药残留?	水果蔬菜一般都有农药残留吗	0
625	变更后的劳动合同文本由谁保存	劳动合同变更后合同文本由谁保管	1
626	发起人向社会公开募集股份，可以不签订代收股款协议吗？	签订代收股款协议是发起人向社会公开募集股份的必要条件吗？	1
627	购物买到假货，可以要求赔多少？	买到假冒商品可以索要多少赔偿?	1
628	离婚协议书怎么公证？	我想公证离婚协议书，该怎么做？	1
629	邻居在门口放个鞋架算占用公共面积吗？	物业法有规定家门口不让放鞋架吗	0
630	抵押合同一般包括哪些条款	抵押合同一般没有哪些条款	0
631	对公安行政处罚不服怎么处理？	对公安部门作出的行政处罚决定不满意该怎么办	1
632	一方失踪，另一方起诉离婚，孩子会怎么判？	如果一方坚持不离婚，法院该怎么判	0
633	扰乱他人正常生活秩序怎么处理？	有人妨碍别人的正常生活，怎么处理？	1
634	取保候审的保证金可以退么？	刑事案件取保侯审保证金怎么退	0
635	被非法限制人身自由的是否可以请求撤销婚姻	人身自由被非法限制的婚姻可以申请撤销吗	1
636	非全日制用工工资怎么计算？	全日制和非全日制具体工资该怎么算？	0
637	试用期内公司以不适合岗位要求辞退，可以要求什么赔偿？	试用期公司以不符合岗位要求辞退，员工能要求哪些赔偿	1
638	用人单位怎样建立职工名册	怎样判定劳动关系是否成立	0
639	申诉书应该怎么写？	书面申述书怎么写！	0
640	媒体有责任赔偿消费者因为电视广告的虚假宣传而买到伪劣产品的损失吗	由于电视广告虚假宣传，销售伪劣产品，消费者是否可以要求媒体承担赔偿责任？	1
641	罪犯释放后要怎么安置？	政府对出狱人员有什么福利政策？	0
642	经营食品添加剂的人可以对产品信息的记录和凭证保存多长时间？	产品信息的记录和凭证在食品添加剂经营者这里可以保存多久？	1
643	行政复议申请期限？	提交行政复议后,法定的答复时间是多少天?	0
644	非亲生子女有权分家产吗？	非亲生子女是否有权分家产	1
645	签了三方协议后毁约，要付违约金吗？	签订三方协议后违约，想找新的公司，必须要解约函吗	0
646	遇到暴露狂可以报警吗？他的行为犯法吗？	有个变态在我面前暴露身体，我可以报警吗？他这样犯不犯法？	1
647	受托人超越委托权限造成委托人损失的，是否应当承担赔偿责任	受托人超越委托权限造成委托人损失的，应当承担什么样的责任	0
648	换工作之后，住房公积金怎么办？	从单位离职后,提取公积金要办理什么手续	0
649	诈骗罪入罪金额是多少？	诈骗罪量刑的标准是多少金额	1
650	当事人对合同解除或债务抵销有异议，但在约定的异议期限届满后提出异议的，法院是否支持	当事人对合同解除或债务抵销有异议，但在约定的异议期限届满后提出异议的，法院应该驳回当事人的申请吗	0
651	人民调解的工作方式有什么优点？	人民调解具有哪些本质特征	0
652	什么情况下，机动车办理变更登记？	在什么情况下，机动车应办理相应的登记	0
653	一直照顾有智障残疾的亲戚能分配对方的财产吗？	智障无亲属残疾人,国家是否应该无条件收养	0
654	我因为犯罪被公司解雇，公司的做法违法吗？	我因为犯了法被追究刑事责任，公司解雇我违法么？	1
655	在强制戒毒场所的工作人员哪些行为属于违规的？	请问被实行强制戒毒的国家工作人员会受到什么样的处理	0
656	换工作之后，住房公积金怎么办？	换单位之后，公积金怎么办？	0
657	医生下班后在外紧急救人是否为非法行医？	医师在户外急救是否承担责任	0
658	涉外离婚财产怎么分割？	离婚海外财产怎么分配	1
659	交通事故的种类有哪些？	交通事故责任划分有几种类型	1
660	为什么要依法制作并提交、公告中期报告？	咨询一下请问上市公司有哪些信息必须披露？	0
661	《民事诉讼法》中审判监督程序的适用程序是怎样的？	我国《民事诉讼法》规定的适用审判监督程序包括哪些？	1
662	立有多份遗嘱但是内容相抵触，应当以哪份遗嘱为准	两份遗嘱内容相抵触，应以哪份为准？	1
663	交警处理交通事故的程序是什么	交警处理车祸的流程	1
664	残疾人机动轮椅车、电动自行车行驶速度限制为多少	非机动车速度规定	0
665	公民、法人或者其他组织不执行人民法院判决、裁定怎么办？	如果行政机关拒不履行法院的判决，公民可以怎么办？	1
666	无偿帮工导致他人受伤，被帮工人不肯赔怎么办？	装修工人导致他人受伤，业主不肯赔怎么办？	0
667	一个身份证可以办理两个个体户营业执照吗？	一个身份证可以办理两个银行卡吗	0
668	构成交通肇事罪怎么判刑？	交通肇事罪怎么认定？	0
669	公益诉讼案件是否可以调解？	可以用调解的方式解决的民事诉讼案件有哪些？	0
670	什么人能成为刑事案件的辩护人？	刑事辩护人是什么意思	0
671	流产了，还能享受休假待遇吗？	流产后请假后还能享受生育金贴吗?	0
672	怎么处罚违反消极资格规定任职的的情况	处置违反消极资格规定任职情形的办法有什么？	1
673	跟团旅游遇上大风天气，自身财物丢失谁赔偿吗？	跟团旅游，在他们提供的酒店丢了东西，责任归谁？	0
674	因不可抗力、意外事件致使主合同不能履行的，是否适用定金罚则	主合同因不可抗力、意外事件导致不能履行，能否适用定金罚则	1
675	胎儿有权继承亡父的遗产吗	我国法律规定胎儿是否享有继承权	1
676	申请股票财产保全的需要准备什么资料？	需要准备哪些资料才能去申请股票财产保全？	1
677	诈骗公司员工没有参与诈骗怎么处理？	企业涉嫌诈骗，有不知情的员工并没有参与到诈骗工作，应该怎么处理？	1
678	在公司实习，没签实习协议，要注意些什么？	在公司没签实习协议的实习，哪些问题需要注意？	1
679	申请设立企业时，对于企业名字的数量，有什么规定吗	开一家企业，那申报名称的数量怎么限定的	1
680	变更后的劳动合同文本由谁保存	劳动合同解除后合同文本由谁保管	0
681	残疾赔偿金如何计算	北京伤残10级赔偿多少钱	0
682	养子女是否可以保留原姓氏	养子女可以不改姓，保留以前的姓名吗？	1
683	合作开发的当事人一方不同意申请专利的，其他方是否可以申请专利	合作开发的当事人一方同意申请专利的，其他方是否可以申请专利	1
684	借款合同到期没钱还款的怎么收回借款？	他人向我借钱，借款合同到期没钱还款的，我应该怎么收回借款？	1
685	实用新型专利被侵权要承担什么责任？	我的一项实用新型专利被侵权了，我应该怎么办？	0
686	什么是管辖权异议？	管辖权异议的概念？	1
687	股权质押合同未登记是否有效？	股权质押未经登记是否还具有法律效力	1
688	由于不能抗拒或者不能预见的原因造成损害结果的，是否构成犯罪？	由于意外事件给他人造成的人身或者财产的损害结果，行为人是否可以免责？	0
689	如何适用刑事速裁程序审理案件？	刑事案件简易程序如何适用	0
690	夫妻一方投资设立独资企业的，法院分割夫妻在该企业中的共同财产时，一方主张经营该企业的怎么办	一方名义投资设立独资企业的，人民法院分割夫妻在该独资企业中的共同财产时，一方主张经营该企业合法吗	0
691	涉及两个以上省、自治区、直辖市的重大食品安全事故应如何实施事故责任调查	牵涉到两个以上省份、自治区、直辖市的那种重大食品安全事故，应该怎么进行事故责任调查	1
692	请问人身安全保护令的有效保护时间是多长	因为家暴我申请了人身安全保护令，这个保护令的保护期限是多少天呢	1
693	试用期是否包含在劳动合同期限内	试用期不包含在劳动合同期限内吗？	1
694	什么是行贿罪？单位行贿是否能够构成犯罪？	咨询一下行贿罪是否全部属于职务犯罪呢	0
695	什么行为构成从事雇佣活动？	退休人员的上下班行为可否认定为从事雇佣活动	0
696	收养的程序的规定是什么	办理收养程序都有哪些具体的规定	1
697	用益物权人、担保物权人行使权利，能否损害所有权人的权益	用益物权人、担保物权人行使权利，能否损害所有权人的声誉	1
698	行政机关在进行司法鉴定中有什么特殊规定呢	哪些特殊规定是在司法鉴定的时候需要遵守的	1
699	物业停车收费纠纷如何解决？	怎样处理物业停车收费的纠纷	1
700	解除收养关系怎么确定经济补偿金？	已超过收养年龄，如何确定收养关系？	0
701	医疗欺诈，对方跑路了还能拿回钱吗？	医疗诈骗，如果将钱退给对方，还要判刑吗	0
702	有价证券是否可以作为财产继承	继承人对死者财产的继承是否包括债权？	0
703	哪个部门有权发放机动车号牌？	我可以去哪里挂车牌？	1
704	男方未经女方同意就把两人共有的房产出售了，变更登记后另一方主张追回该房屋的，合法吗	未经另一方同意出售夫妻共有的房屋，变更登记后另一方主张追回的，人民法院是否支持	1
705	离婚证遗失或损毁的该如何补救	结婚证，离婚证遗失，损毁怎么补办	0
706	会计核算的依据是什么？	在我国确立会计核算所依据的是什么？	1
707	个人承包是否发生继承	人在承包期内死亡，其继承人可以继续承包吗	0
708	抢劫会怎么判刑？	抢劫怎么保释出来	0
709	什么情况下企业应当办理注销登记呢？	社保什么情况下会注销？	0
710	劳动行政部门怎么处理关于违反劳动合同法行为的举报	接到的举报是关于违反劳动合同法的，劳动行政部门要怎么处理	1
711	教唆、引诱、欺骗他人吸食、注射毒品的，应当如何处罚？	吸毒人员和教唆他人吸毒的人员分别会受到什么处罚	0
712	噪音扰民该怎么办？	噪音太大影响我休息该怎么办	1
713	证券交易当事人买卖的证券采用什么具体形式？	证券交易的有关法律规定？怎么才能成一家交易所？	0
714	刑事速裁程序如何审理案件？	怎么适用刑事速裁程序审理案件？	1
715	医疗欺诈，对方跑路了还能拿回钱吗？	如果诈骗罪成立，被判刑我们的钱还能回来吗？	0
716	精神病人犯强奸,抢劫罪需要坐牢吗?	精神病人犯罪要拘留吗	0
717	劳动合同文本由谁进行保存	劳动合同员工自己应该保留一份是么？急~	0
718	损害发生后，怎么确定赔偿费用的支付方式	损害发生后，确定赔偿费用的支付方式是怎样的步骤	1
719	什么是可撤销合同，有哪几种情形？	可撤销合同主要有哪些	0
720	食品生产企业建立的进货查验记录制度包括哪些内容	哪些内容是包括在食品生产企业建立的进货查验记录制度里面的？	1
721	公司少缴社保费，需要提供哪些证据？	工作单位少给我交社保，我告他的话要提供什么证据	1
722	对因不满16周岁不予刑事处罚的人如何处理？	已满16周岁的人对所有的犯罪要不要承担刑事责任?	0
723	遇到推销保健品该如何用法律手段来维权？	吃了推销的保健品会对身体有什么危害吗？	0
724	依法应当参加工伤保险统筹的用人单位的劳动者,遭受人身损害，责任怎么算	依法参加工伤保险统筹的用人单位的劳动者,遭受人身损害，谁来承担责任	1
725	购物买到假货，可以要求赔多少？	我在商场买到假货后，如何要求商场赔偿？	0
726	到人民法院上诉还要递交上诉状吗？	我想去法院上诉，我想问下是不是还要递交诉状呢？	1
727	消费者维权打官司，有啥要注意的？	消费者维权，怎么起诉、打官司要钱吗？	0
728	民事诉讼的基本制度包括哪些？	民事诉讼的基本制度有哪些内容	1
729	酒后驾驶发生重大交通事故怎么处罚？	假如我醉酒驾驶撞死了人会面临什么样的处罚？	0
730	仲裁具有哪些法律特征？	简述仲裁协议的特征	1
731	我作为买卖合同出卖人，我要对我出卖的标的物对买受人负哪些义务	作为买卖合同出卖人，什么义务是要对对其出卖的标的物对买受人承担的	1
732	对机动车的安全技术检验是否必须到政府制定部门进行？	机动车承检单位是什么意思	0
733	乡镇、街道是否可以设立人民调解委员会？	人民调解委员会可以调解劳动争议吗	0
734	关于房东不按规定登记承租人姓名、身份证件种类和号码的，处罚标准是什么	房主没有按照规定登记承租人姓名、身份证件种类和号码，会受到什么处罚	1
735	居间人为促成合同成立产生的居间活动的费用由谁承担	居间活动的费用可以约定由委托人承担吗	0
736	租房未到合同期限，不想租了，能合同能解除么？	如果租房合同未到期就解除，会有什么样的后果？	0
737	误诊导致的医疗费用可以要求赔偿吗？	搜索看病误诊要求赔偿书如何写	0
738	遗赠是否需要进行公证？	遗赠可以不进行公证吗	1
739	与一公司签了三方协议后毁约需要交违约金吗?	签了三方协议，如果三方协议不要了，还需交违约金么？	1
740	食品保持期的概念是什么？	怎么理解食品的保持期？	1
741	律师查阅案卷材料如何处理？	申请查阅,复制案卷材料，应该怎么办？	0
742	债权人行使撤销权有什么成立条件	债权人撤销权行使限制有哪些	1
743	何种情形下才可以将认购书认定为商品房买卖合同？	法律规定的认购书应当认定为商品房买卖合同的情形有哪些？	1
744	合伙企业的设立程序怎样？	合伙企业的成立流程是什么	1
745	精神病人犯罪要拘留吗	刑事案件犯罪的精神病要坐牢吗	0
746	我是股东，我有什么权利？	我国公司法规定的股东的权利有哪些？	1
747	对食品药品投诉举报处理结果不满意怎么办？	如果药品被食品药品监督管理局查出不合格怎么处罚的?	0
748	技术服务合同的受托人应当承担什么主要义务	技术服务合同中受托人有哪些义务，技术成果归谁	0
749	继承人对被继承人没有尽扶养义务的情形下是否享有遗产	没有尽赡养义务的养子女是继承人吗？	0
750	工程勘察、设计合同一般包括哪些内容？	什么是工程勘察合同，工程勘察合同应包括哪些	0
751	单位集资诈骗罪如何判刑？	有判处单位犯集资诈骗罪的吗	1
752	技术服务合同的委托人有什么主要义务	技术服务合同中请求别人为自己办事的人主要承担什么义务	1
753	债务人死亡其债务承担是怎样的？	债务人身亡后债务由谁来还？	1
754	三代以内旁系血亲包括哪些	三代以内旁系血亲关系和近姻亲关系具体指哪些	0
755	无人认领的遗失物归谁所有？	无人认领的遗失物品的所有者是谁？	1
756	我们国家的金融机构的分支机构，因为发放贷款等相关金融业务引发的纠纷适用民间借贷的规定吗	金融机构，发放贷款等相关金融业务引发的纠纷能不能适用民间借贷的规定	1
757	一方婚后继承的财产属于夫妻共同财产吗？	婚后过户给我的房产属于夫妻共同财产吗？	0
758	派出所给我下发了行政处罚决定书，但没有执行，怎么办	行政处罚决定书下达之后，公安部门并没有立即执行，该怎么办	1
759	企业转让资产的净值能否在企业所得税税前扣除？	纳税人的哪些支出可以再企业所得税前扣除拜托各位大神	0
760	引诱、教唆未成年人犯罪的行为会受到什么惩罚？	对于引诱、教唆未成年人犯罪的行为的规定处罚是什么？	1
761	婚内我写了一份保证书是否有法律效力	婚内保证书有法律效力吗	1
762	民事诉讼的基本制度包括哪些？	民事诉讼法基本制度的两审终审制度	0
763	小产权房有可能变成大产权房吗？	大产权房有可能是小产权房演变的吗？	1
764	隐名代理的代理行为产生的法律后果由谁承担？	代理行为的后果应由谁承担	1
765	公司设立后多久可以变更住所？	公司变更名称、经营范围和住所有什么程序？	0
766	婚内出轨起诉离婚会怎么判？	老婆出轨了，去法院提出离婚，法院会怎么判呢？	1
767	对符合《中华人民共和国民事诉讼法》起诉条件的消费者权益争议，人民法院是否受理？	消费者权益保护法的实施者是谁？政府还是消费者协会？	0
768	婚内出轨起诉离婚会怎么判？	男方婚内出轨起诉离婚，我该怎么做	1
769	行政垄断的具体情况是什么？	行政垄断的情况在哪些方面体现？	1
770	公司在什么情况下必须办理注销	在什么情行下公司需要注销公司	1
771	公司少缴社保费，需要提供哪些证据？	未足额缴纳公积金和社保，怎么维权？	0
772	批丧假时，直系亲属包括哪些？	直系亲属死亡，公司不批假该怎么办？	0
773	公益诉讼案件是否可以调解？	公益诉讼案件可以通过调节来解决吗	1
774	是否可以委托辩护人为自己辩护？	被告人是否可以委托辩护人为自己辩护？	1
775	雇员在从事雇佣活动中遭受人身损害,应由谁来承担责任	如何认定雇员从事雇佣活动中受伤的自身过错责任	0
776	工会在保护劳动者权益方面发挥什么作用？	劳动者协会在劳动者维权中能起到哪些作用	1
777	用人单位不交社保，劳动者可向哪个部门投诉	单位不交社保应该找什么部门维护自己的合法权益?	0
778	诈骗罪入罪金额是多少？	怎么才算是欺骗罪？	0
779	眼镜掉地上被路过的人踩烂，谁赔？	眼镜掉地上被路过的人踩烂，咋办？	0
780	违反劳动合同应如何处理？	员工违反劳动合同法的规定，用人单位怎么办	0
781	当事人申请仲裁需要具备哪些条件？	什么情形不允许申请仲裁？	0
782	公司欠债无力偿还，签有免责协议的挂名法人是否需要赔偿？	公司欠债无力偿还，签有免责协议的挂名法人需要赔偿吗？	1
783	有哪些证据是我自己没有办法收集到的？	用我自己收积证据么？该怎么收集证据？	0
784	罚款是否要开具罚款收据	企业罚款不开收据合理吗?	1
785	成立一家股份有限公司的方法有什么	哪些建立股份有限公司的方式呢	1
786	离婚后不直接抚养孩子的一方是否具有探望孩子的权利	离婚后直接抚养孩子的一方是否具有限制探望孩子的权利	1
787	两个以上污染者污染环境，怎么确定污染者承担责任的大小	两个以上污染者污染环境，如何判断污染者责任大小	1
788	发生交通事故，作为受害人我可以向事故责任人还是保险公司索赔？	交通事故受害人一方如何向责任人所属的保险公司索赔？	0
789	造成死亡的精神损害抚慰金应该如何分配？	交通事故中的死亡赔偿金该如何分配？	0
790	办案机关及其工作人员有违法行为时，是否有权提出控告？	对机关工作人员的违法行要不要提出控告？	1
791	以募集方式设立股份有限公司如何申请设立登记？	以发起设立方式和以募集方式成立股份有限公司的区别	0
792	试用期已经到期了，工资还没变，可以要求补偿吗？	试用期已经过了，但是老板还没有给我涨工资，我可以要求补偿吗	1
793	全职员工在职期间在外兼职，合同没约定，公司可以辞退吗？	在职员工干私活违反劳动法吗	0
794	台风天气吹断树枝砸坏车辆找谁赔偿？	车被大树砸了，保险公司会赔吗？	0
795	交通事故赔偿纠纷，对方全责，但是不赔偿该怎么办？	交通事故认定书是对方的全责，但是对方不赔偿该怎么搞	1
796	单位集资诈骗罪如何判刑？	犯集资诈骗罪被判刑后,诈骗的财物怎么办?                  	0
797	设立抵押权，当事人是否应当采取书面形式订立抵押合同	设立抵押权，当事人是否应当采取电子形式订立抵押合同	0
798	当事人是否有权知道笔迹鉴定结果？	在笔迹鉴定书出来后，当事人可以看吗	1
799	基层工会委员会的会议制度是什么？	基层工会应该怎样选举工会委员呢？	0
800	工程勘察、设计合同一般包括哪些内容？	建设工程勘察合同有哪些	0
801	持有境外机动车驾驶证的人是否可以取得中国的机动车驾驶证	中国公民持外国驾照怎样取得中国驾照	0
802	什么情况不能作为认定案子事实的依据？	哪些证据应当作为认定案件事实的根据	0
803	卖淫、嫖娼的，应当如何处罚？	对卖淫嫖娼的法律处罚是什么？	1
804	可以延长机动车驾驶证的审验期的情形是什么	本人想知道驾驶证年审最多延长多长时间	0
805	是否有同意适用简易程序的权利？	行政处罚适用简易程序的必备条件	0
806	遗嘱无效情形包括哪些	代书遗嘱的无效情形有哪些	0
807	企业认为行政机关侵犯其合法的经营自主权的，是否可以申请行政复议？	对于企业认为行政机关侵犯其合法的经营自主权的行为，能申请行政复议吗？	1
808	二人以上的侵害行为，导致发生同一损害后果的，应该如何承担责任	交通事故中多个责任人应对第三方承担连带赔偿责任吗	0
809	夜间严重噪音扰民怎么办	噪音扰民怎么办？（营业场所）	0
810	司法所是做什么的？	司法所主要是干嘛的	1
811	夫妻对财产关系约定的时间是否有限制	夫妻双方对财产关系进行约定会有时间上的限制吗	1
812	纳税期限的具体内容？	纳税期限的重要表现是税收无偿性吗	0
813	人民法院在审理民间借贷纠纷案件的时候怎么判断是不是属于虚假民事诉讼	审理民间借贷纠纷案件怎么判断是否属于虚假民事诉讼	1
814	被派遣劳动者在无工作期间，劳务派遣单位应当如何支付劳动者报酬	被派遣劳动者在有工作期间，劳务派遣单位应当如何支付劳动者报酬	0
815	《中华人民共和国道路交通安全法》中的交通事故是指什么	《中华人民共和国道路交通安全法》中的交通警察是指什么	0
816	诉讼代理人的概念？	诉讼代理人是啥？	1
817	财物在跟团旅游时遇上大风天气之后丢失了，要找谁赔偿	自身财物在旅游时遇上大风天气后丢失了，可以找谁赔偿	1
